row_number,reads_t1,reads_t2,freq_t1,freq_t2,freq_ratio,ln_freq_ratio,abs_ln_freq_ratio
3469,0.0,5850.0,0.0,0.0011504248312415267,11504249.312415266,16.258227030510575,16.258227030510575
2990,0.0,4486.0,0.0,0.0008821890244358101,8821891.2443581,15.992746831794804,15.992746831794804
2720,0.0,3323.0,0.0,0.0006534806349086485,6534807.349086485,15.692653424741572,15.692653424741572
155,0.0,2988.0,0.0,0.0005876016061110567,5876017.061110567,15.586389719796292,15.586389719796292
3221,0.0,2378.0,0.0,0.0004676427775542479,4676428.775542479,15.358045294449406,15.358045294449406
2348,0.0,2294.0,0.0,0.00045112385690052346,4511239.569005234,15.322082522718171,15.322082522718171
1984,0.0,2227.0,0.0,0.00043794805114100513,4379481.511410051,15.292440898955192,15.292440898955192
34,0.0,2224.0,0.0,0.0004373580896890864,4373581.896890864,15.291092887376307,15.291092887376307
1863,0.0,2197.0,0.0,0.0004320484366218178,4320485.366218178,15.27887830720038,15.27887830720038
3341,0.0,2162.0,0.0,0.00042516555301609925,4251656.530160992,15.262819236761889,15.262819236761889
3736,0.0,2086.0,0.0,0.0004102198629008247,4102199.6290082466,15.22703388269267,15.22703388269267
1429,0.0,2074.0,0.0,0.00040786001709314983,4078601.170931498,15.221264637331869,15.221264637331869
2425,0.0,2071.0,0.0,0.0004072700556412311,4072701.556412311,15.219817110293144,15.219817110293144
2950,0.0,2063.0,0.0,0.0004056968251027811,4056969.251027811,15.215946762920968,15.215946762920968
2784,0.0,2052.0,0.0,0.00040353363311241246,4035337.331124124,15.210600457461714,15.210600457461714
118,0.0,2030.0,0.0,0.0003992072491316751,3992073.4913167506,15.19982132589252,15.19982132589252
1964,0.0,2029.0,0.0,0.0003990105953143688,3990106.953143688,15.19932859380596,15.19932859380596
2977,0.0,2016.0,0.0,0.00039645409568938764,3964541.956893876,15.192900884787505,15.192900884787505
1976,0.0,1923.0,0.0,0.000378165290679907,3781653.9067990696,15.145672013383644,15.145672013383644
2608,0.0,1908.0,0.0,0.0003752154834203133,3752155.834203133,15.137841121881983,15.137841121881983
127,0.0,1856.0,0.0,0.00036498948492038865,3649895.849203886,15.11020919068687,15.11020919068687
3649,0.0,1844.0,0.0,0.0003626296391127137,3626297.3911271365,15.103722683240216,15.103722683240216
57,0.0,1780.0,0.0,0.0003500437948051141,3500438.9480511406,15.068398932324895,15.068398932324895
1917,0.0,1721.0,0.0,0.0003384412195840457,3384413.1958404565,15.034691095044044,15.034691095044044
3040,0.0,1718.0,0.0,0.00033785125813212696,3378513.5813212693,15.032946401892664,15.032946401892664
2307,0.0,1713.0,0.0,0.0003368679890455958,3368680.8904559575,15.03003179853653,15.03003179853653
1541,0.0,1705.0,0.0,0.0003352947585071458,3352948.5850714575,15.025350691322883,15.025350691322883
